"","X","V1","V2","V3","V4","V5","V6","V7","V8","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40"
"11",8.2016,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8.2017,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",9.2016,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",9.2017,"passive","passive","passive","passive","active","active","active","active","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU"
"15",10.2016,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",10.2017,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",11.2016,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",11.2017,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",12.2016,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",12.2017,"passive","passive","passive","passive","active","active","active","active","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU"
